,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pevek,69.7,170.31,54.82,66,89,9.44,RU,1595802360
1,Quang Ngai,15.12,108.8,75.87,87,8,4.29,VN,1595802496
2,Laas,46.62,10.7,57.99,93,51,3.36,IT,1595802496
3,Isangel,-19.55,169.27,77.0,83,40,11.41,VU,1595802273
4,Bluff,-46.6,168.33,39.0,83,0,3.0,NZ,1595802229
5,Saint Paul Harbor,57.79,-152.41,60.8,72,20,10.29,US,1595802402
6,Rikitea,-23.12,-134.97,70.23,78,0,20.2,PF,1595802226
7,Kununurra,-15.77,128.73,62.6,36,10,8.05,AU,1595802438
8,Shwebo,22.57,95.7,79.65,87,99,6.6,MM,1595802498
9,Fortuna,40.6,-124.16,63.0,80,17,3.0,US,1595802271
10,Kiryat Gat,31.61,34.76,82.0,75,9,2.17,IL,1595802499
11,Yellowknife,62.46,-114.35,73.4,43,20,11.41,CA,1595802356
12,Sitka,57.05,-135.33,55.4,93,90,9.17,US,1595802371
13,Poronaysk,49.22,143.12,57.06,93,99,6.08,RU,1595802500
14,Quatre Cocos,-20.21,57.76,70.0,77,75,12.75,MU,1595802276
15,Qaqortoq,60.72,-46.03,51.8,71,81,10.29,GL,1595802501
16,Yangi Marg`ilon,40.43,71.72,73.4,60,75,4.7,UZ,1595802411
17,Lilongwe,-13.97,33.79,55.62,68,32,5.12,MW,1595802501
18,Atuona,-9.8,-139.03,79.92,73,3,25.21,PF,1595802351
19,Port Alfred,-33.59,26.89,56.88,70,51,9.93,ZA,1595802357
20,Provideniya,64.38,-173.3,48.2,81,99,13.42,RU,1595802248
21,Bathsheba,13.22,-59.52,82.4,78,40,17.22,BB,1595802122
22,San Patricio,19.22,-104.7,89.6,75,40,11.41,MX,1595802408
23,Ushuaia,-54.8,-68.3,33.8,86,90,20.8,AR,1595802353
24,Chui,-33.7,-53.46,48.56,83,100,7.14,UY,1595802238
25,Cabedelo,-6.98,-34.83,73.4,94,20,5.82,BR,1595802249
26,Jodhpur,26.29,73.03,88.09,59,0,12.15,IN,1595802505
27,Mossamedes,-15.2,12.15,66.56,82,4,5.84,AO,1595802418
28,Punta Arenas,-53.15,-70.92,35.6,74,20,17.22,CL,1595802263
29,Port Lincoln,-34.73,135.87,55.29,85,38,13.11,AU,1595802394
30,Hilo,19.73,-155.09,93.2,46,20,14.99,US,1595802368
31,Svobodnyy,51.4,128.13,68.94,96,83,4.63,RU,1595802507
32,Puerto Ayora,-0.74,-90.35,77.0,61,20,20.8,EC,1595802357
33,Mount Gambier,-37.83,140.77,48.2,81,75,10.29,AU,1595802388
34,Bredasdorp,-34.53,20.04,42.8,87,20,3.36,ZA,1595802369
35,Albany,42.6,-73.97,89.01,37,40,7.96,US,1595802139
36,Carnarvon,-24.87,113.63,50.0,100,0,6.93,AU,1595802390
37,Pizhma,57.86,47.12,55.63,97,2,3.67,RU,1595802509
38,East London,-33.02,27.91,60.44,66,90,13.78,ZA,1595802270
39,Vanavara,60.34,102.28,55.9,84,100,5.99,RU,1595802509
40,Vila Velha,-20.33,-40.29,71.6,94,75,3.36,BR,1595802398
41,Port Keats,-14.25,129.55,64.29,39,0,11.54,AU,1595802272
42,Mehamn,71.04,27.85,64.4,59,0,9.17,NO,1595802410
43,Hays,30.05,-98.03,91.99,61,21,4.0,US,1595802511
44,Airai,-8.93,125.41,53.24,81,79,4.7,TL,1595802403
45,Kortkeros,61.81,51.58,55.4,93,39,2.24,RU,1595802511
46,Hambantota,6.12,81.12,84.2,66,90,10.29,LK,1595802361
47,Payakumbuh,-0.22,100.63,69.08,90,69,1.68,ID,1595802512
48,Mar del Plata,-38.0,-57.56,53.01,76,100,11.41,AR,1595802358
49,Barrow,71.29,-156.79,44.6,93,90,14.99,US,1595802366
50,Kapaa,22.08,-159.32,82.0,74,90,19.46,US,1595802367
51,Hanko,59.83,22.95,62.01,69,84,1.01,FI,1595802467
52,Coyhaique,-45.58,-72.07,33.8,59,40,4.7,CL,1595802398
53,Jamestown,42.1,-79.24,82.0,57,75,10.29,US,1595802224
54,Linxia Chengguanzhen,35.6,103.21,59.02,53,13,4.56,CN,1595802515
55,Hamilton,39.18,-84.53,93.99,49,1,8.05,US,1595802391
56,Lompoc,34.64,-120.46,72.0,64,10,17.22,US,1595802142
57,Skellefteå,64.75,20.95,55.4,93,19,3.36,SE,1595802516
58,Hermanus,-34.42,19.23,46.99,83,15,1.01,ZA,1595802356
